id,type,available,mfr,hw,sw,protocol,flow_count,total_packets,total_bytes,avg_packet_size,link_count,anomaly
of:000000000000000c,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4985,267778,104.5411805396065,2,0
of:000000000000000d,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,15,13177,802116,63.89550548851256,6,1
of:000000000000000a,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,11211,651664,104.54454013126652,4,0
of:000000000000000b,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8297,467884,104.65253660504462,4,0
of:000000000000000e,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,36,4975,267638,36.11508420046997,2,1
of:000000000000000f,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,11,7981,446474,55.91421037722147,4,0
of:0000000000000010,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,21,11107,645078,59.62705634135194,4,1
of:0000000000000011,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,32,8064,453292,55.97117579299238,4,1
of:0000000000000014,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,132,4687,248290,3.1668965777174733,2,1
of:0000000000000015,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,8,8942,468916,52.37181799527532,4,0
of:0000000000000012,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,18,5057,272538,61.3437759650719,2,0
of:0000000000000013,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,31,14026,820036,56.20743734361698,6,1
of:0000000000000018,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4425,231966,104.4831102047566,2,0
of:0000000000000019,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,15,10652,638120,27.95982476323624,6,1
of:0000000000000016,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,10,11693,642334,41.913360280049815,4,1
of:0000000000000017,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8743,456582,104.7334141646121,4,0
of:000000000000001a,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4451,233478,104.48742973780332,2,0
of:000000000000001d,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8759,458598,104.73721997884375,4,0
of:000000000000001e,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4451,234150,104.49536984065108,2,0
of:000000000000001b,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6738,368676,104.71505707301152,4,0
of:000000000000001c,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,6,7524,454776,69.85276526559697,4,0
of:000000000000001f,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,9855,590198,104.84622257926944,6,1
of:0000000000000021,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6955,382270,104.73530984626731,4,0
of:0000000000000022,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8858,502964,104.78190093187676,4,0
of:0000000000000020,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4447,234598,104.50165338831503,2,0
of:0000000000000003,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,9788,524862,104.27618629178836,4,0
of:0000000000000025,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8447,543718,104.85110338416996,6,1
of:0000000000000004,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8745,533372,104.2900381986831,4,0
of:0000000000000026,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4433,233674,104.49866449334394,2,0
of:0000000000000001,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6950,457410,104.40989033139256,4,0
of:0000000000000023,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6931,381794,104.73682619368768,4,0
of:0000000000000002,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,5059,272415,104.05967598320149,2,0
of:0000000000000024,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4444,233520,104.49144763679143,2,0
of:0000000000000007,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,12800,780612,104.44250558890792,6,1
of:0000000000000008,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,6,4996,268276,69.3679981057127,2,0
of:0000000000000005,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,7807,435300,104.26606657781817,4,0
of:0000000000000027,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6446,335580,104.63075269389512,3,0
of:0000000000000006,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,4998,268144,104.04442937544565,2,0
of:0000000000000028,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,6096,391424,104.55585389961004,3,0
of:0000000000000009,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,0.0,4,8012,448630,104.51957906272771,4,0
